D,fcy,Ac,As,αsc,Nu0,C,Ns,Vs,Vc,N
153.9,18.4,17742.2151969831,860.105236699812,0.0484778945103803,632.740234413291,483.491109387469,306.283474788803,404249.461248912,8338841.14258204,981.0
154.2,18.4,17413.2276142991,1261.68717162657,0.0724556756261839,769.690189919325,484.433587183546,449.286801816221,592992.970664486,8184216.97872059,1294.0
155.6,23.0,17751.6600811368,1263.89759621763,0.0711988394573116,858.362115879243,488.831816898572,450.073934013097,594031.870222284,8343280.2381343,1300.0
159.3,21.9,17389.8463109748,2540.80232849892,0.146108383194589,1285.61734338881,500.455709716854,904.779709178465,1194177.09439449,8173227.76615815,1577.0
160.2,21.9,17530.3697503699,2626.12013098878,0.149804035418784,1319.07647617821,503.283143105085,935.161378645106,1234276.46156473,8239273.78267384,1775.0
159.8,21.9,17586.7374623976,2469.22145404614,0.140402474269352,1264.43931021234,502.026506043649,879.289759785829,1160534.08340168,8265766.60732689,1746.0
264.6,21.9,51270.9884561263,3717.21882152541,0.0725014073935071,2324.98321407048,831.265416139859,1202.14856688132,3018381.68307864,41632042.6263745,3579.0
265.0,21.9,51270.9884561263,3883.59756845953,0.0757464930051585,2378.79010082898,832.522053201295,1255.95545363981,3153481.22558914,41632042.6263745,3789.0
264.4,21.9,51230.8624639583,3674.24968800593,0.0717194579847416,2310.2082370618,830.637097609141,1188.25234910112,2983490.74666082,41599460.3207341,3357.0
111.3,42.7,9042.51682066221,686.752154074729,0.0759470142765448,629.637782077175,349.659262344544,243.522313834899,274014.109475817,3607964.21144422,840.0
113.6,42.7,9025.67003005733,1109.8618526602,0.12296725328581,778.953123236756,356.8849254478,393.557012953308,374023.444346489,3041650.80012932,1141.0
113.6,42.7,9025.67003005733,1109.8618526602,0.12296725328581,778.953123236756,356.8849254478,393.557012953308,375133.306199149,3050676.47015938,1091.0
113.6,42.7,9025.67003005733,1109.8618526602,0.12296725328581,778.953123236756,356.8849254478,393.557012953308,372913.582493829,3032625.13009926,1139.0
114.8,42.7,8992.02357273739,1358.77023860412,0.151108393746179,869.99152090458,360.654836632108,486.032114348694,455188.02993238,3012327.89686702,1041.0
